ticker,date,run_pct,drop_pct,retrace,run_bars,drop_bars,L_atr,n_sup,room_to_sup,nearest_gap,held_highest_HL,err_fixed35,err_fixed50,err_highHL,err_recentHL,err_launch,run_bkt
WMT,2022-04-07,1.678610626896522,0.7810019683789562,0.47307692307692595,28,9,0.20275049039052911,4,0.22307692307692595,0.223076923076915,False,0.12307692307693031,0.026923076923074066,0.25,0.25,0.526923076923074,big
WMT,2022-04-12,0.7225151337629458,0.4782215328938924,0.6666666666666666,8,5,0.3088051226014582,2,1.0900900900900838,0.4234234234234172,True,0.3166666666666769,0.16666666666666666,0.4234234234234172,0.4234234234234172,0.3333333333333333,small
WMT,2022-04-13,1.2119649303764797,0.44585987261145776,0.37234042553190977,6,5,0.18305857772191958,1,1.0,0.6276595744680903,True,0.022340425531915793,0.12765957446809026,0.6276595744680903,0.6276595744680903,0.6276595744680903,medium
WMT,2022-04-25,1.1058656146931436,0.44774210055009406,0.4093567251462069,18,4,0.21984069160586064,5,0.39766081871345244,0.0,True,0.059356725146207726,0.09064327485378479,0.011695906432754467,0.011695906432754467,0.5906432748537931,medium
WMT,2022-04-28,1.1469811199175213,0.6752882716442646,0.595505617977529,24,8,0.18565492415092877,3,1.0028089887640423,0.4073033707865134,True,0.24550561797753456,0.09550561797752101,0.4073033707865134,0.4073033707865134,0.404494382022471,medium
WMT,2022-05-02,1.201654737671556,1.2912016610433488,1.0874316939890685,8,12,0.3233291537920532,2,1.1284153005464392,0.04098360655737056,True,0.7374316939890694,0.5874316939890608,0.04098360655737056,0.04098360655737056,0.08743169398906858,medium
WMT,2022-05-02,1.1752988047808834,0.5184747653737559,0.44632768361581215,9,2,0.18975101691275736,2,1.1412429378531066,0.6949152542372944,True,0.0963276836158049,0.05367231638417984,0.6949152542372944,0.6949152542372944,0.5536723163841879,medium
WMT,2022-05-04,1.227275710441691,0.2398858921161855,0.19786096256684688,11,5,0.1517219805408851,3,1.048128342245991,0.8502673796791441,True,0.1521390374331592,0.3021390374331531,0.8502673796791441,0.8770053475935886,0.8021390374331532,medium
WMT,2022-05-06,1.7366184088192194,0.5058911844381382,0.2963671128107118,8,3,0.3433924470250852,3,0.858508604206509,0.5621414913957972,True,0.05363288718928546,0.20363288718929362,0.5621414913957972,0.5621414913957972,0.7036328871892882,huge
WMT,2022-05-09,2.032452044210035,0.40168576320295907,0.2016528925619876,20,3,0.31348695976262136,5,0.3008264462809994,0.09917355371901183,True,0.14834710743801285,0.2983471074380077,0.09917355371901183,0.09917355371901183,0.7983471074380124,huge
WMT,2022-05-09,0.9305088101366044,0.44461880476004106,0.4822695035461053,18,4,0.23775920351918126,5,0.5319148936170226,0.04964539007091727,True,0.13226950354609623,0.017730496453884626,0.04964539007091727,0.04964539007091727,0.5177304964538947,small
WMT,2022-05-13,0.9584228657184769,0.4662162162162147,0.49110320284697306,7,4,0.2799566772322458,2,1.1245551601423567,0.6334519572953837,True,0.1411032028469761,0.008896797153016812,0.6334519572953837,0.6334519572953837,0.5088967971530269,small
WMT,2022-05-13,1.028190113032814,0.42124418683022175,0.4139072847682144,17,4,0.15178210419129,3,0.8211920529801434,0.407284768211929,True,0.06390728476820688,0.08609271523178559,0.407284768211929,0.407284768211929,0.5860927152317856,medium
WMT,2022-05-16,1.2270775103960812,0.8350730688935342,0.6888888888888896,7,5,0.254761144691122,2,0.9333333333333312,0.24444444444444163,True,0.33888888888889435,0.18888888888888958,0.24444444444444163,0.24444444444444163,0.3111111111111104,medium
WMT,2022-05-16,0.8520421963754333,0.36878101113047,0.43650793650792613,9,4,0.1513616421773723,2,1.2539682539682504,0.8174603174603242,True,0.08650793650792162,0.06349206349207387,0.8174603174603242,0.8174603174603242,0.5634920634920739,small
