ticker,has_res,level_dist_atr,age_bars,touches,res_drop_dep,res_drop_spd,reached,stalled,broke,short,cont_atr,apex_at_res,apex_placebo
AAPL,True,1.121057945003934,152.0,3.0,0.4277957549498169,0.1425985849832723,True,False,True,False,8.323005955331883,False,False
AAPL,True,3.011716850479721,3.0,1.0,0.39780412125069614,0.13260137375023207,True,False,True,False,11.706834854283974,False,False
AAPL,True,1.1647948963714059,447.0,3.0,0.16324381253291326,0.023320544647559036,True,False,True,False,16.382276607030025,True,False
AAPL,True,1.6015768268679627,918.0,2.0,0.594986249206685,0.027044829509394772,True,False,True,False,32.77072584206507,False,False
AAPL,True,1.0056944289045182,249.0,1.0,0.18252866471284807,0.026075523530406864,True,False,True,False,14.798075168164935,False,False
AAPL,True,3.2407709549313486,6.0,1.0,0.7121751647852236,0.11869586079753726,True,False,True,False,5.230155105483151,False,False
AAPL,True,1.1212104624210537,1866.0,2.0,0.7321521625846801,0.07321521625846801,True,False,True,False,7.428019313539215,True,True
AAPL,True,2.7648944858833024,9.0,1.0,0.9493755515738269,0.10548617239709189,True,False,True,False,0.7271002800246694,False,False
AAPL,True,2.907040286432088,6.0,1.0,0.4169599826717831,0.06949333044529718,True,False,True,False,5.050186774969917,False,False
AAPL,True,1.0108947450391754,11.0,2.0,0.15998698410976056,0.02666449735162676,True,False,True,False,10.640997316201975,False,False
AAPL,True,1.0054272251945449,432.0,1.0,0.32721073471183393,0.16360536735591696,True,False,True,False,4.9245415111568756,True,True
AAPL,True,1.0019194903218291,25.0,3.0,0.6300334191639761,0.1050055698606627,True,False,True,False,23.766462328563914,False,False
AAPL,True,1.4868971986003907,1.0,1.0,0.5516175451686813,0.5516175451686813,True,False,True,False,2.1241388551434075,False,False
AAPL,True,1.532512454046867,880.0,1.0,0.36563559208946184,0.09140889802236546,True,False,True,False,6.454581865279544,False,False
AAPL,True,1.0777700331998672,1230.0,1.0,0.35718941467866105,0.05953156911311018,True,False,True,False,17.00481607937603,True,True
AAPL,True,1.0858125830528678,1637.0,9.0,0.33677349266703127,0.11225783088901042,True,False,True,False,4.329845238593547,True,True
AAPL,True,1.0114782289313367,85.0,7.0,4.0930979133226355,1.0232744783306589,True,False,True,False,2.555788739174692,True,True
AAPL,True,1.1804233428996245,118.0,1.0,0.2122353690242509,0.10611768451212544,True,False,True,False,14.991376454826035,True,True
AAPL,True,1.4355269099404722,1934.0,1.0,0.4104041529638765,0.13680138432129219,True,False,True,False,7.8040462922217015,True,True
AAPL,True,1.0676499379584665,1732.0,3.0,0.23823867681691344,0.07941289227230448,True,False,True,False,11.337425531653711,True,False
AAPL,True,1.621032443505238,45.0,2.0,0.47142502687950716,0.04285682062540975,True,False,True,False,6.917927188479683,True,True
