feature,mean_ref,std_ref,missing_rate_ref,mean_oos,std_oos,missing_rate_oos,mean_shift_in_ref_std,std_ratio_oos_over_ref,missing_rate_delta
spy_above_sma50,0.5907866532617562,0.49169103773479494,0.24366396223843445,0.8282314609581252,0.37717978990394047,0.0,0.48291465467881967,0.7671073112123333,-0.24366396223843445
spy_above_sma200,0.8548342794360008,0.3522718760141244,0.6866019612484846,0.9274059842396817,0.25946956070562555,0.29961987834741,0.20601049855246217,0.7365605328516832,-0.3869820829010746
spy_return_20d,0.0034147770802286925,0.05714100249486022,0.041685497234596594,0.01987084327688744,0.0317815979686495,0.0,0.28799050555927774,0.5561960165383558,-0.041685497234596594
market_trend,0.582814502838308,0.696488140146073,0.6866019612484846,0.682155535616759,0.6016719684704764,0.29961987834741,0.14263133433631245,0.863865346428281,-0.3869820829010746
omni_82_value,262.54099352700626,5234.310099263214,0.5133463891937647,110.34056163147709,1973.2475579094037,0.030139924385504148,-0.029077457966610157,0.37698331212496555,-0.48320646480826057
omni_82_above,0.447155070754717,0.49720323559283,0.5133463891937647,0.5134553624249937,0.49981980047178387,0.030139924385504148,0.13334646061026714,1.0052625660728738,-0.48320646480826057
omni_82_distance,-0.011791081843096041,0.1875425344299253,0.5133463891937647,0.010338157743427034,0.2255477124614226,0.030139924385504148,0.11799584373640636,1.202648312005711,-0.48320646480826057
omni_82_slope,-0.00023966592285344055,0.02724184138534937,0.5133463891937647,0.00023683039371906188,0.02615775977135851,0.030139924385504148,0.017491340245037974,0.9602052739880544,-0.48320646480826057
omni_82_bounce,0.006883844339622642,0.08268347961631893,0.5133463891937647,0.014304025692312027,0.11874118995329,0.030139924385504148,0.08974200634905176,1.4360932861593612,-0.48320646480826057
omni_82_distance_5d_change,0.00464686712392958,0.17757053416405752,0.5133463891937647,0.0007286380597186851,0.14689492033165294,0.030139924385504148,-0.02206576154459749,0.8272482876913387,-0.48320646480826057
omni_82_slope_10d,3.2877131836033203e-05,0.04632590750616667,0.5481381051785855,0.0009985791439110967,0.052358429523850114,0.03196027335972213,0.020845830423214355,1.130219187112102,-0.5161778318188633
rsi_momentum_5d,0.08999072711406805,15.587131967199072,0.035587980000143474,-0.09785753915494282,15.309762142468982,0.002318981151020659,-0.01205149649494924,0.9822052045678592,-0.033268998849122815
distance_sma20_momentum,0.0007892792145178048,0.11640760028563792,0.0711257451524738,-0.0002099188006806783,0.1284155204816283,0.004467197857930813,-0.008583614925027894,1.1031540910260642,-0.06665854729454299
volume_trend_5d,2.0176290318539465,21.751523318049852,0.04504271848838961,3.504683973243738,118.59872977065982,0.00772538345155925,0.0683655539727557,5.452433286465238,-0.03731733503683036
rs_spy_20_momentum,0.0013681903533629381,0.13583927224432168,0.08530067933515542,-0.0006512789977862022,0.15022647154553934,0.005338096522894389,-0.014866609028329491,1.105913400915022,-0.07996258281226103
