regime,mean_ic,t_stat,n_days,n_rows,fold,arm
range_low_vol,0.046069352804887796,2.7927671682347652,44,7038,3,regime_weighted
bull_high_vol,-0.019447019753669737,-0.9249222919369596,199,4718,3,v1
bull_low_vol,0.011092198602199637,1.1227035622537453,227,35048,3,v1
range_high_vol,0.020350205593109728,0.42541722650046065,39,662,3,v1
range_low_vol,0.05036838240572965,2.465061611760462,44,7038,3,v1
bull_high_vol,0.01110994558828443,0.530220422647947,183,4269,4,regime_weighted
bull_low_vol,0.011376208109220121,1.372427438344108,212,33140,4,regime_weighted
range_high_vol,-0.049258743471784765,-2.0230230308024857,60,3353,4,regime_weighted
range_low_vol,-0.003162417428024106,-0.18260284675025434,60,7258,4,regime_weighted
bull_high_vol,0.07158248449703737,3.638218605303137,183,4269,4,v1
bull_low_vol,0.002076774353746194,0.23328665106030796,212,33140,4,v1
range_high_vol,-0.020825667501748298,-1.0496467251357122,60,3353,4,v1
range_low_vol,-0.004403685142738071,-0.3473322774525283,60,7258,4,v1
bear_high_vol,-0.00715211664000617,-0.2890218409164773,54,5451,5,regime_weighted
bear_low_vol,0.03765041442677003,1.8132185231630928,54,4086,5,regime_weighted
bull_high_vol,-0.0010682999190328043,-0.059263180149053324,175,4173,5,regime_weighted
bull_low_vol,0.010547559979750104,1.014605666455404,175,26589,5,regime_weighted
range_high_vol,-0.07164544653433985,-2.0841859593482264,43,2760,5,regime_weighted
range_low_vol,-0.017633401019211035,-0.8291041425030339,43,5651,5,regime_weighted
bear_high_vol,0.014262811882870517,0.6052752728989219,54,5451,5,v1
bear_low_vol,0.03674456552005577,1.3832490338747683,54,4086,5,v1
bull_high_vol,0.016506870396113316,0.8291365969295995,175,4173,5,v1
bull_low_vol,0.04189743122997125,3.633083581299555,175,26589,5,v1
range_high_vol,-0.009974269542026043,-0.375560944468733,43,2760,5,v1
range_low_vol,-0.025419508218468542,-1.3235021077156295,43,5651,5,v1
bear_high_vol,0.013328045689736327,0.5949773853960527,37,6537,6,regime_weighted
bear_low_vol,-0.03412765788345154,-0.5091151276628688,3,180,6,regime_weighted
bull_high_vol,0.0338153495895608,2.5620646539324357,179,9499,6,regime_weighted
bull_low_vol,0.008889226802718324,0.7939147772958917,185,23879,6,regime_weighted
range_high_vol,0.0009980121548796152,0.03215744517042997,52,5835,6,regime_weighted
