scan_date,ts,ticker,method,name,direction,mr_score,mr_oversold,confluence_n,above_ema200,rsi,cc_ret,base_n,base_avg_fwd5,base_win5,conviction,needs_5m_confirm,explained_by,liq_tier,entry_px,exp_firstleg_pct,target_px,exp_firstleg_bars,retrace_frac,add_dip_px,exp_wholerun_pct,base_scope
2026-06-26,2026-06-26,OXY,mean_reversion,mr_oversold,long,1.0108626806331957,1,3,0,29.834439183519024,-2.3823421749987417,113209,0.672,55.8,1.605,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.01; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,49.9900016784668,9.185,54.5816,5,0.78,51.0002,14.425,tier
2026-06-26,2026-06-26,XLC,candlestick,inverted_hammer,long,1.2788265737985738,1,3,0,28.845199160256485,0.5682879936687257,37911,0.551,54.3,1.56,True,"[tier] base 37911x avg5 +0.55% win 54%; mr +1.28; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,106.18000030517578,9.185,115.9326,5,0.78,108.3256,14.425,tier
2026-06-26,2026-06-26,AAPL,candlestick,tweezer_bottom,long,0.9737410274589152,0,3,1,41.2506330667389,3.136472859984596,81625,0.286,53.0,1.542,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +0.97; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,283.7799987792969,9.185,309.8452,5,0.78,289.5143,14.425,tier
2026-06-26,2026-06-26,LHX,mean_reversion,mr_oversold,long,1.1796376391944061,1,2,0,41.17230666149945,0.9462120789831108,113209,0.672,55.8,1.522,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.18; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,291.25,9.185,318.0013,5,0.78,297.1353,14.425,tier
2026-06-26,2026-06-26,HAL,candlestick,tweezer_bottom,long,0.8817108835051211,0,3,1,30.581888735838447,-1.3267929298152903,81625,0.286,53.0,1.506,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +0.88; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,34.209999084472656,9.185,37.3522,5,0.78,34.9013,14.425,tier
2026-06-26,2026-06-26,SNPS,mean_reversion,mr_oversold,long,1.1285581279524712,1,2,0,41.929764906155626,-0.14944237444496355,113209,0.672,55.8,1.502,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.13; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,454.3399963378906,9.185,496.0711,5,0.78,463.5208,14.425,tier
2026-06-26,2026-06-26,META,mean_reversion,mr_oversold,long,1.0733236587587898,1,2,0,37.38451272984231,1.3594423985837434,113209,0.672,55.8,1.48,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.07; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,550.25,9.185,600.7905,5,0.78,561.3689,14.425,tier
2026-06-26,2026-06-26,SPGI,mean_reversion,mr_oversold,long,1.0466388682066905,1,2,0,46.108754605006176,3.2950317687405084,113209,0.672,55.8,1.469,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.05; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,408.1600036621094,9.185,445.6495,5,0.78,416.4077,14.425,tier
2026-06-26,2026-06-26,COST,mean_reversion,mr_oversold,long,1.0222857058633268,1,2,0,41.03034488993337,1.0931384678765976,113209,0.672,55.8,1.459,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.02; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,952.5399780273438,9.185,1040.0308,5,0.78,971.788,14.425,tier
2026-06-26,2026-06-26,ISRG,mean_reversion,mr_oversold,long,1.0141336257332683,1,2,0,41.334436401639806,1.2534738760095587,113209,0.672,55.8,1.456,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.01; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,404.70001220703125,9.185,441.8717,5,0.78,412.8778,14.425,tier
2026-06-26,2026-06-26,CRM,mean_reversion,mr_oversold,long,1.2932362899843495,1,1,0,41.24526120460118,5.446429551109788,113209,0.672,55.8,1.417,True,"[tier] base 113209x avg5 +0.67% win 56%; mr +1.29; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,158.3699951171875,9.185,172.9163,5,0.78,161.5702,14.425,tier
2026-06-26,2026-06-26,META,candlestick,bullish_harami,long,1.0733236587587898,1,2,0,37.38451272984231,1.3594423985837434,67665,0.618,54.7,1.405,True,"[tier] base 67665x avg5 +0.62% win 55%; mr +1.07; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,550.25,9.185,600.7905,5,0.78,561.3689,14.425,tier
2026-06-26,2026-06-26,F,candlestick,inverted_hammer,long,0.4469928274437516,0,1,1,47.67377378299696,0.14174669206463708,37911,0.551,54.3,1.327,True,"[tier] base 37911x avg5 +0.55% win 54%; mr +0.45; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,14.130000114440918,9.185,15.4278,5,0.78,14.4155,14.425,tier
2026-06-26,2026-06-26,MCD,candlestick,tweezer_bottom,long,1.3394436734953106,1,3,0,39.88016118099081,1.973236959284641,81625,0.286,53.0,1.289,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +1.34; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,269.760009765625,9.185,294.5375,5,0.78,275.2111,14.425,tier
2026-06-26,2026-06-26,PSX,candlestick,inverted_hammer,long,0.34368981792822323,0,1,1,46.397473851116075,-0.06404320788866436,37911,0.551,54.3,1.285,True,"[tier] base 37911x avg5 +0.55% win 54%; mr +0.34; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,171.64999389648438,9.185,187.416,5,0.78,175.1185,14.425,tier
2026-06-26,2026-06-26,SNPS,candlestick,hammer,long,1.1285581279524712,1,2,0,41.929764906155626,-0.14944237444496355,39286,0.454,53.9,1.241,True,"[tier] base 39286x avg5 +0.45% win 54%; mr +1.13; <200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,454.3399963378906,9.185,496.0711,5,0.78,463.5208,14.425,tier
2026-06-26,2026-06-26,FCX,candlestick,tweezer_bottom,long,0.582551196509617,0,2,1,43.58865193079702,-0.5573224177916059,81625,0.286,53.0,1.236,True,"[tier] base 81625x avg5 +0.29% win 53%; mr +0.58; >200EMA; tier T1 tgt +9.2% (~5b), add-dip @78% retrace",T1,62.45000076293945,9.185,68.186,5,0.78,63.7119,14.425,tier
